PRODUCT_SKU,PRODUCT_TITLE,BRAND,CATEGORY,STOCK,PRICE,SHIPPING,IMAGES,PRODUCT_DESCRIPTION,PRODUCT_GTIN,HANDLING_DAYS,PRODUCT_LOCATION,KOGAN_FIRST_PRICE,
SKU_7D_004_CONF-4 pack,7th Day Red IPA-4 cans-375 ml,7th Day,kogan:34057,300,36,0,https://www.onlycraftbeer.com.au/media/catalog/product/s/k/sku_7d_004_opt_1.jpg,"<p>Big bodied, balanced with a big fruity hop</p><p><strong>Tasting Notes:</strong></p><p>Complex big bodied beer. Passionfruit character with clean hit of citrus and peach.</p><p>Beer type:IPA</p><p>ABV:6.4%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_004_CONF-4 pack,2,AU, ,
SKU_7D_004_CONF-8 pack,7th Day Red IPA-8 cans-375 ml,7th Day,kogan:34057,300,66,0,https://www.onlycraftbeer.com.au/media/catalog/product/s/k/sku_7d_004_opt_1.jpg,"<p>Big bodied, balanced with a big fruity hop</p><p><strong>Tasting Notes:</strong></p><p>Complex big bodied beer. Passionfruit character with clean hit of citrus and peach.</p><p>Beer type:IPA</p><p>ABV:6.4%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_004_CONF-8 pack,2,AU, ,
SKU_7D_006_CONF-16 pack,7th Day  Hazy IPA-16 cans-375 ml,7th Day,kogan:34057,300,104,0,https://www.onlycraftbeer.com.au/media/catalog/product/m/a/mango_hazy_ipa_can.png,"<p>The HAZY is definitely our fruitiest beer so far, bursting with super fresh juicy Mango, balanced with a fruity hop bitterness.</p><p><strong>Tasting Notes:</strong></p><p>Super juicy mango flavoured New England IPA balanced with a fruity hop bitterness.</p><p>Beer type:IPA</p><p>ABV:5.5%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_006_CONF-16 pack,2,AU,101,
SKU_7D_006_CONF-4 pack,7th Day  Hazy IPA-4 cans-375 ml,7th Day,kogan:34057,300,36,0,https://www.onlycraftbeer.com.au/media/catalog/product/m/a/mango_hazy_ipa_can.png,"<p>The HAZY is definitely our fruitiest beer so far, bursting with super fresh juicy Mango, balanced with a fruity hop bitterness.</p><p><strong>Tasting Notes:</strong></p><p>Super juicy mango flavoured New England IPA balanced with a fruity hop bitterness.</p><p>Beer type:IPA</p><p>ABV:5.5%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_006_CONF-4 pack,2,AU, ,
SKU_7D_006_CONF-8 pack,7th Day  Hazy IPA-8 cans-375 ml,7th Day,kogan:34057,300,66,0,https://www.onlycraftbeer.com.au/media/catalog/product/m/a/mango_hazy_ipa_can.png,"<p>The HAZY is definitely our fruitiest beer so far, bursting with super fresh juicy Mango, balanced with a fruity hop bitterness.</p><p><strong>Tasting Notes:</strong></p><p>Super juicy mango flavoured New England IPA balanced with a fruity hop bitterness.</p><p>Beer type:IPA</p><p>ABV:5.5%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_006_CONF-8 pack,2,AU, ,
SKU_7D_007_CONF-16 pack,7th Day  Raspberry Sour Cider-16 cans-375 ml,7th Day,kogan:34057,300,95,0,https://www.onlycraftbeer.com.au/media/catalog/product/s/5/s513996541972710364_p157_i2_w1083.png,"<p>Raspberry, Apple Sour Cider</p><p><strong>Tasting Notes:</strong></p><p>Beer type:Cider</p><p>ABV:5.5%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_007_CONF-16 pack,2,AU,92,
SKU_7D_007_CONF-4 pack,7th Day  Raspberry Sour Cider-4 cans-375 ml,7th Day,kogan:34057,300,35,0,https://www.onlycraftbeer.com.au/media/catalog/product/s/5/s513996541972710364_p157_i2_w1083.png,"<p>Raspberry, Apple Sour Cider</p><p><strong>Tasting Notes:</strong></p><p>Beer type:Cider</p><p>ABV:5.5%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_007_CONF-4 pack,2,AU, ,
SKU_7D_007_CONF-8 pack,7th Day  Raspberry Sour Cider-8 cans-375 ml,7th Day,kogan:34057,300,62,0,https://www.onlycraftbeer.com.au/media/catalog/product/s/5/s513996541972710364_p157_i2_w1083.png,"<p>Raspberry, Apple Sour Cider</p><p><strong>Tasting Notes:</strong></p><p>Beer type:Cider</p><p>ABV:5.5%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_007_CONF-8 pack,2,AU, ,
SKU_7D_008_CONF-16 pack,7th Day Pacific Ale-16 cans-375 ml,7th Day,kogan:34057,300,95,0,https://www.onlycraftbeer.com.au/media/catalog/product/p/a/pacific_ale_can.png,"<p>Our current most popular brew has been put in cans and welcomed into our core range!</p>
<p>Crispy hazy Aussie ale</p><p><strong>Tasting Notes:</strong></p><p>Easy drinking, light and fruity.</p><p>Beer type:Australian Pale Ale</p><p>ABV:4.1%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_008_CONF-16 pack,2,AU,92,
SKU_7D_008_CONF-4 pack,7th Day Pacific Ale-4 cans-375 ml,7th Day,kogan:34057,300,35,0,https://www.onlycraftbeer.com.au/media/catalog/product/p/a/pacific_ale_can.png,"<p>Our current most popular brew has been put in cans and welcomed into our core range!</p>
<p>Crispy hazy Aussie ale</p><p><strong>Tasting Notes:</strong></p><p>Easy drinking, light and fruity.</p><p>Beer type:Australian Pale Ale</p><p>ABV:4.1%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_008_CONF-4 pack,2,AU, ,
SKU_7D_008_CONF-8 pack,7th Day Pacific Ale-8 cans-375 ml,7th Day,kogan:34057,300,62,0,https://www.onlycraftbeer.com.au/media/catalog/product/p/a/pacific_ale_can.png,"<p>Our current most popular brew has been put in cans and welcomed into our core range!</p>
<p>Crispy hazy Aussie ale</p><p><strong>Tasting Notes:</strong></p><p>Easy drinking, light and fruity.</p><p>Beer type:Australian Pale Ale</p><p>ABV:4.1%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_008_CONF-8 pack,2,AU, ,
SKU_7D_MM_001,7th Day Mix Pack-16 cans-375 ml,7th Day,kogan:34057,300,95,0,https://www.onlycraftbeer.com.au/media/catalog/product/b/y/byo_7d_1.png,"<p>Create your own and exclusive mix case. Choose 4 different types from 7th Day amazing beers. <strong>Your choice!</strong></p>
<p></p>
<p><strong>XPA.</strong>¬†Light and floral.</p>
<p><strong>Red IPA.</strong>¬†<span>Complex big bodied IPA</span>.</p>
<p><strong>Pale Ale.</strong>¬†<span>Spicy and citrusy</span>.</p>
<p><strong>Pilsner.¬†</strong><span>Super crisp, light & easy drinking</span></p>
<p><strong>Hazy IPA.¬†</strong>Mango NEIPA</p>
<p><strong>Rasperry Sour Cider.</strong></p>
<p><strong>Pacific Ale. </strong>Crisp and Fruity Australian Pale Ale</p><p><strong>Tasting Notes:</strong></p><p>Beer type:</p><p>ABV:%</p><p>IBU:</p><p><strong>About the brewery</strong></p><p>7th Day Brewery operates with a combined importance of creating excellent beer and a whole hearted involvement within our local community. </p> <p>We rose from the dust by the help of the community through crowd funding, so we promote this idea of giving back and doing good.  This idea of local support has shaped the brand, and knowing this makes us who we are.</p><p>Brewery Liquor Licence:LIQW880015060</p> <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_7D_MM_001,2,AU,92,
SKU_AB_003_CONF-16 pack,Aether Brewing All Australian Pale Ale-16 cans-375 ml,Aether Brewing,kogan:34057,300,91,0,https://www.onlycraftbeer.com.au/media/catalog/product/a/l/all_australian_pale_ale.png,"<p>Brewed with all-Australian ingredients, our Pale Ale showcases the quality and outstanding flavours this country has to offer.</p>
<p>A light-golden, cloudy haze and pillowing foam please the eye while the aroma bursts with tropical, juicy delight. We added a mountain of Australian hops to this one, garnering a rich bouquet of peach, mango, grapefruit and pineapple.¬†</p>
<p>Vegan friendly & all natural - free of preservatives and additives.</p> <p>Tasting Notes:</p> <p>Crisp mouthfeel with a moderate degree of clarity. Strong aroma and taste of a fruit salad from the hops, particularly stone fruits and citrus. Little aftertaste as the hops and malt burst in the mouth and dissipate rapidly</p><p>Beer type: Australian Pale Ale</p> <p>ABV: </p>4.5% <p>IBU: </p>30<p> </p><p>About the brewery</p><p> </p><p>Aether is an independent local brewery based in Northgate Brisbane.</p>
<p>We know you’ve heard it before, but here at Aether, we’re genuinely dedicated to doing things differently. Inspired by the word ‘quintessence’ or the mysterious fifth element, Aether Brewing cultivates this unknown essence in the magic we bring to our beer, ginger beer and seltzer range.</p>
<p>Aether Brewing is wholly-owned by Dave and Annie Ward and backed by their amazing families. Being independent and family-owned means we have the freedom to experiment, and can cultivate a workplace that really doesn’t feel like work.</p>
<p>For us, creativity is our passion, and this year we’re diving headfirst into some really exciting long term commitments to supporting the Australian arts community. Creativity, community, authenticity, quality, and balance are the five core pillars or values that help guide us in everything that we do…</p>
<p><span>Here at Aether Brewing, creativity is what enables our personal fulfilment, but also our existence and growth as a brewery. We’re lucky enough to express ourselves by brewing and sharing our craft beers with the good folk of Australia, and beyond!</span></p><p> </p><p>Brewery Liquor Licence:</p>203202 <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_AB_003_CONF-16 pack,2,AU,88,
SKU_AB_003_CONF-4 pack,Aether Brewing All Australian Pale Ale-4 cans-375 ml,Aether Brewing,kogan:34057,300,33,0,https://www.onlycraftbeer.com.au/media/catalog/product/a/l/all_australian_pale_ale.png,"<p>Brewed with all-Australian ingredients, our Pale Ale showcases the quality and outstanding flavours this country has to offer.</p>
<p>A light-golden, cloudy haze and pillowing foam please the eye while the aroma bursts with tropical, juicy delight. We added a mountain of Australian hops to this one, garnering a rich bouquet of peach, mango, grapefruit and pineapple.¬†</p>
<p>Vegan friendly & all natural - free of preservatives and additives.</p> <p><strong>Tasting Notes:</strong></p> <p>Crisp mouthfeel with a moderate degree of clarity. Strong aroma and taste of a fruit salad from the hops, particularly stone fruits and citrus. Little aftertaste as the hops and malt burst in the mouth and dissipate rapidly</p><p>Beer type: Australian Pale Ale</p> <p>ABV: 4.5% </p><p>IBU: 30</p><p><strong>About the brewery</strong></p><p> </p><p>Aether is an independent local brewery based in Northgate Brisbane.</p>
<p>We know you’ve heard it before, but here at Aether, we’re genuinely dedicated to doing things differently. Inspired by the word ‘quintessence’ or the mysterious fifth element, Aether Brewing cultivates this unknown essence in the magic we bring to our beer, ginger beer and seltzer range.</p>
<p>Aether Brewing is wholly-owned by Dave and Annie Ward and backed by their amazing families. Being independent and family-owned means we have the freedom to experiment, and can cultivate a workplace that really doesn’t feel like work.</p>
<p>For us, creativity is our passion, and this year we’re diving headfirst into some really exciting long term commitments to supporting the Australian arts community. Creativity, community, authenticity, quality, and balance are the five core pillars or values that help guide us in everything that we do…</p>
<p><span>Here at Aether Brewing, creativity is what enables our personal fulfilment, but also our existence and growth as a brewery. We’re lucky enough to express ourselves by brewing and sharing our craft beers with the good folk of Australia, and beyond!</span></p><p> </p><p>Brewery Liquor Licence:203202 <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_AB_003_CONF-4 pack,2,AU, ,
SKU_AB_003_CONF-8 pack,Aether Brewing All Australian Pale Ale-8  cans-375 ml,Aether Brewing,kogan:34057,300,56,0,https://www.onlycraftbeer.com.au/media/catalog/product/a/l/all_australian_pale_ale.png,"<p>Brewed with all-Australian ingredients, our Pale Ale showcases the quality and outstanding flavours this country has to offer.</p>
<p>A light-golden, cloudy haze and pillowing foam please the eye while the aroma bursts with tropical, juicy delight. We added a mountain of Australian hops to this one, garnering a rich bouquet of peach, mango, grapefruit and pineapple.¬†</p>
<p>Vegan friendly & all natural - free of preservatives and additives.</p> <p>Tasting Notes:</p> <p>Crisp mouthfeel with a moderate degree of clarity. Strong aroma and taste of a fruit salad from the hops, particularly stone fruits and citrus. Little aftertaste as the hops and malt burst in the mouth and dissipate rapidly</p><p>Beer type: Australian Pale Ale</p> <p>ABV: </p>4.5% <p>IBU: </p>30<p> </p><p>About the brewery</p><p> </p><p>Aether is an independent local brewery based in Northgate Brisbane.</p>
<p>We know you’ve heard it before, but here at Aether, we’re genuinely dedicated to doing things differently. Inspired by the word ‘quintessence’ or the mysterious fifth element, Aether Brewing cultivates this unknown essence in the magic we bring to our beer, ginger beer and seltzer range.</p>
<p>Aether Brewing is wholly-owned by Dave and Annie Ward and backed by their amazing families. Being independent and family-owned means we have the freedom to experiment, and can cultivate a workplace that really doesn’t feel like work.</p>
<p>For us, creativity is our passion, and this year we’re diving headfirst into some really exciting long term commitments to supporting the Australian arts community. Creativity, community, authenticity, quality, and balance are the five core pillars or values that help guide us in everything that we do…</p>
<p><span>Here at Aether Brewing, creativity is what enables our personal fulfilment, but also our existence and growth as a brewery. We’re lucky enough to express ourselves by brewing and sharing our craft beers with the good folk of Australia, and beyond!</span></p><p> </p><p>Brewery Liquor Licence:</p>203202 <p> Please note, that this product cannot be delivered to Dry Zones and PO boxes. Only Craft Beer supports the Responsible Service of Alcohol. </p>",SKU_AB_003_CONF-8 pack,2,AU, ,
